season,player_id,player_name,player_url,age,team,position,games,games_started,minutes,win_shares,ws_per_48,bpm,vorp
2022-23,jokicni01,Nikola Jokić,https://www.basketball-reference.com/players/j/jokicni01.html,27,DEN,C,69,69,2323,14.9,0.308,13.0,8.8
2022-23,whitede01,Derrick White,https://www.basketball-reference.com/players/w/whitede01.html,28,BOS,SG,82,70,2319,7.4,0.154,2.4,2.6
2022-23,iveyja01,Jaden Ivey,https://www.basketball-reference.com/players/i/iveyja01.html,20,DET,SG,74,73,2304,0.0,-0.001,-3.3,-0.7
2022-23,russeda01,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html,26,2TM,PG,71,71,2304,5.1,0.106,1.5,2.0
2022-23,russeda01,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html,26,MIN,PG,54,54,1778,3.8,0.103,1.2,1.4
2022-23,russeda01,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html,26,LAL,PG,17,17,526,1.3,0.118,2.4,0.6
2022-23,greendr01,Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html,32,GSW,PF,73,73,2297,4.7,0.098,0.8,1.6
2022-23,martike04,KJ Martin,https://www.basketball-reference.com/players/m/martike04.html,22,HOU,SF,82,49,2292,4.9,0.103,-0.7,0.7
2022-23,embiijo01,Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html,28,PHI,C,66,66,2284,12.3,0.259,9.2,6.4
2022-23,brownbr01,Bruce Brown,https://www.basketball-reference.com/players/b/brownbr01.html,26,DEN,SF,80,31,2280,4.3,0.09,-0.5,0.9
2022-23,thompkl01,Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html,32,GSW,SF,69,69,2279,3.1,0.066,-0.3,1.0
2022-23,willija06,Jalen Williams,https://www.basketball-reference.com/players/w/willija06.html,21,OKC,SG,75,62,2276,5.6,0.119,0.3,1.3
2022-23,markkla01,Lauri Markkanen,https://www.basketball-reference.com/players/m/markkla01.html,25,UTA,PF,66,66,2273,8.2,0.173,3.8,3.3
2022-23,strusma01,Max Strus,https://www.basketball-reference.com/players/s/strusma01.html,26,MIA,SF,80,33,2272,3.4,0.071,-1.7,0.2
2022-23,dortlu01,Luguentz Dort,https://www.basketball-reference.com/players/d/dortlu01.html,23,OKC,SF,74,73,2272,2.9,0.062,-3.0,-0.6
2022-23,claxtni01,Nic Claxton,https://www.basketball-reference.com/players/c/claxtni01.html,23,BRK,C,76,76,2271,9.2,0.195,3.1,2.9
2022-23,grantje01,Jerami Grant,https://www.basketball-reference.com/players/g/grantje01.html,28,POR,PF,63,63,2246,4.1,0.087,-0.2,1.0
2022-23,irvinky01,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html,30,2TM,SG,60,60,2241,7.4,0.159,4.1,3.5
2022-23,irvinky01,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html,30,BRK,PG,40,40,1478,4.3,0.14,3.8,2.2
2022-23,irvinky01,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html,30,DAL,SG,20,20,763,3.1,0.198,4.9,1.3
2022-23,kuzmaky01,Kyle Kuzma,https://www.basketball-reference.com/players/k/kuzmaky01.html,27,WAS,PF,64,64,2239,0.9,0.019,-1.7,0.2
2022-23,leverca01,Caris LeVert,https://www.basketball-reference.com/players/l/leverca01.html,28,CLE,SG,74,30,2237,4.4,0.095,-0.2,1.0
2022-23,mathube01,Bennedict Mathurin,https://www.basketball-reference.com/players/m/mathube01.html,20,IND,SG,78,17,2222,1.8,0.038,-3.7,-1.0
2022-23,roziete01,Terry Rozier,https://www.basketball-reference.com/players/r/roziete01.html,28,CHO,SG,63,63,2221,1.7,0.037,-0.6,0.8
2022-23,allenja01,Jarrett Allen,https://www.basketball-reference.com/players/a/allenja01.html,24,CLE,C,68,68,2220,9.5,0.205,2.4,2.4
2022-23,brookdi01,Dillon Brooks,https://www.basketball-reference.com/players/b/brookdi01.html,27,MEM,SF,73,73,2214,1.6,0.034,-3.9,-1.1
2022-23,huertke01,Kevin Huerter,https://www.basketball-reference.com/players/h/huertke01.html,24,SAC,SG,75,75,2203,4.9,0.107,1.0,1.7
2022-23,holidjr01,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,32,MIL,PG,67,65,2183,6.7,0.148,3.1,2.8
2022-23,sengual01,Alperen Şengün,https://www.basketball-reference.com/players/s/sengual01.html,20,HOU,C,75,72,2171,5.2,0.115,1.4,1.9
2022-23,simonan01,Anfernee Simons,https://www.basketball-reference.com/players/s/simonan01.html,23,POR,SG,62,62,2171,2.5,0.054,-1.1,0.5
2022-23,zubaciv01,Ivica Zubac,https://www.basketball-reference.com/players/z/zubaciv01.html,25,LAC,C,76,76,2170,6.7,0.149,-0.9,0.6
2022-23,hayeski01,Killian Hayes,https://www.basketball-reference.com/players/h/hayeski01.html,21,DET,PG,76,56,2154,-0.5,-0.012,-3.8,-1.0
2022-23,hardati02,Tim Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati02.html,30,DAL,SF,71,45,2152,2.3,0.051,-1.8,0.1
2022-23,meltode01,De'Anthony Melton,https://www.basketball-reference.com/players/m/meltode01.html,24,PHI,SG,77,58,2150,4.2,0.095,0.9,1.6
2022-23,goberru01,Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html,30,MIN,C,70,70,2148,7.8,0.174,0.7,1.4
2022-23,butleji01,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,33,MIA,PF,64,64,2138,12.3,0.277,8.7,5.8
2022-23,hardeja01,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,33,PHI,PG,58,58,2135,8.4,0.188,5.4,4.0
2022-23,murraja01,Jamal Murray,https://www.basketball-reference.com/players/m/murraja01.html,25,DEN,PG,65,65,2133,5.1,0.116,1.3,1.8
2022-23,collijo01,John Collins,https://www.basketball-reference.com/players/c/collijo01.html,25,ATL,PF,71,71,2130,4.2,0.095,-1.3,0.4
2022-23,beysa01,Saddiq Bey,https://www.basketball-reference.com/players/b/beysa01.html,23,2TM,SF,77,37,2129,3.9,0.087,-0.3,0.9
2022-23,beysa01,Saddiq Bey,https://www.basketball-reference.com/players/b/beysa01.html,23,DET,SF,52,30,1500,2.3,0.074,-0.7,0.5
2022-23,beysa01,Saddiq Bey,https://www.basketball-reference.com/players/b/beysa01.html,23,ATL,SF,25,7,629,1.6,0.119,0.5,0.4
2022-23,huntede01,De'Andre Hunter,https://www.basketball-reference.com/players/h/huntede01.html,25,ATL,SF,67,67,2126,2.5,0.057,-3.3,-0.7
2022-23,westbru01,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,34,2TM,PG,73,24,2126,1.9,0.044,0.2,1.2
2022-23,westbru01,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,34,LAL,PG,52,3,1491,0.7,0.023,-0.1,0.7
2022-23,westbru01,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,34,LAC,PG,21,21,635,1.2,0.092,0.8,0.5
2022-23,grimequ01,Quentin Grimes,https://www.basketball-reference.com/players/g/grimequ01.html,22,NYK,SG,71,66,2121,4.8,0.108,-0.1,1.0
2022-23,porzikr01,Kristaps Porziņģis,https://www.basketball-reference.com/players/p/porzikr01.html,27,WAS,C,65,65,2120,7.7,0.174,4.3,3.4
2022-23,trentga02,Gary Trent Jr.,https://www.basketball-reference.com/players/t/trentga02.html,24,TOR,SG,66,44,2118,4.5,0.102,0.2,1.2
2022-23,lillada01,Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html,32,POR,PG,58,58,2107,9.0,0.205,7.1,4.9
2022-23,dosunay01,Ayo Dosunmu,https://www.basketball-reference.com/players/d/dosunay01.html,23,CHI,SG,80,51,2098,2.9,0.067,-2.5,-0.2
2022-23,kispeco01,Corey Kispert,https://www.basketball-reference.com/players/k/kispeco01.html,23,WAS,SF,74,45,2093,3.8,0.088,-1.5,0.2
2022-23,beaslma01,Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html,26,2TM,SG,81,27,2093,1.4,0.032,-2.0,0.0
2022-23,beaslma01,Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html,26,UTA,SG,55,13,1472,1.2,0.04,-1.6,0.2
2022-23,beaslma01,Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html,26,LAL,SG,26,14,621,0.2,0.012,-2.9,-0.1
2022-23,martica02,Caleb Martin,https://www.basketball-reference.com/players/m/martica02.html,27,MIA,SF,71,49,2077,3.7,0.086,-1.2,0.4
2022-23,nembhan01,Andrew Nembhard,https://www.basketball-reference.com/players/n/nembhan01.html,23,IND,SG,75,63,2073,1.2,0.029,-3.2,-0.6
2022-23,johnske04,Keldon Johnson,https://www.basketball-reference.com/players/j/johnske04.html,23,SAS,SF,63,63,2063,1.3,0.03,-1.8,0.1
2022-23,gordoaa01,Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,27,DEN,PF,68,68,2055,6.8,0.158,2.1,2.1
2022-23,plumlma01,Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html,32,2TM,C,79,60,2054,7.9,0.185,2.2,2.2
2022-23,plumlma01,Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html,32,CHO,C,56,56,1597,6.1,0.183,2.4,1.8
2022-23,plumlma01,Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html,32,LAC,C,23,4,457,1.8,0.19,1.4,0.4
2022-23,willigr01,Grant Williams,https://www.basketball-reference.com/players/w/willigr01.html,24,BOS,PF,79,23,2045,4.4,0.104,-1.1,0.5
2022-23,aytonde01,Deandre Ayton,https://www.basketball-reference.com/players/a/aytonde01.html,24,PHO,C,67,67,2035,6.2,0.147,0.9,1.5
2022-23,conlemi01,Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html,35,2TM,PG,67,66,2029,5.5,0.13,0.9,1.5
2022-23,conlemi01,Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html,35,UTA,PG,43,42,1276,3.0,0.113,0.2,0.7
